"";"Seconds"
"-----";18076
"----+";18658
"---+-";20093
"---++";20678
"--+--";15922
"--+-+";16505
"--++-";17938
"--+++";18528
"-+---";16539
"-+--+";17122
"-+-+-";18562
"-+-++";19141
"-++--";14382
"-++-+";14968
"-+++-";16404
"-++++";16988
"+----";13688
"+---+";14272
"+--+-";15708
"+--++";16296
"+-+--";11529
"+-+-+";12118
"+-++-";13552
"+-+++";14139
"++---";12152
"++--+";12735
"++-+-";14173
"++-++";14759
"+++--";9997
"+++-+";10583
"++++-";12018
"+++++";12603
